id,first_name,last_name,email,phone_number,is_verified
3789911,Rahmat,Oktaviani,gutami@yahoo.com,080 534 7419,no
4259673,Bancar,Permadi,kani11@gmail.com,+62 (300) 451-3955,no
5532916,Cecep,Hassanah,raharjanababan@hotmail.com,(073) 928 0684,no
9005684,Harja,Kusumo,ellafirmansyah@hotmail.com,+62 (98) 616 8561,no
4127618,Elon,Hardiansyah,thamrinhendri@gmail.com,+62 (039) 080-3792,no
3970060,Rahman,Lazuardi,ulvafirgantoro@hotmail.com,+62 (205) 315 2812,yes
6303458,Saadat,Simanjuntak,kalim16@gmail.com,085 961 4077,no
2363083,Slamet,Nashiruddin,harjayahalimah@yahoo.com,+62-47-459-8724,yes
3396072,Candrakanta,Latupono,darmaji61@hotmail.com,(013) 827-5415,yes
4096147,Dina,Laksmiwati,pertiwibakda@hotmail.com,+62 (59) 329 1969,no
6582954,Bakda,Tarihoran,saptonohamzah@hotmail.com,+62 (246) 817 5095,yes
7765205,Malik,Natsir,bakidin14@gmail.com,+62 (0132) 528-4272,no
6849868,Viktor,Oktaviani,dartono63@gmail.com,(011) 550 1766,yes
7950358,Najwa,Safitri,rinahariyah@yahoo.com,(0470) 052-3257,no
6722266,Janet,Widiastuti,corneliamaheswara@hotmail.com,+62 (838) 832-0567,no
4021615,Raden,Halim,ywulandari@yahoo.com,+62 (667) 387-3627,yes
4754158,Gangsa,Usamah,hariyaheluh@gmail.com,+62 (068) 772 8586,yes
8221067,Liman,Mustofa,oktasamosir@hotmail.com,(0151) 942 5706,yes
2254777,Luis,Manullang,naradi91@gmail.com,(0915) 543-0985,yes
6431584,Garang,Zulaika,betania31@hotmail.com,+62 (60) 475 9572,yes
9123040,Ihsan,Santoso,wadihariyah@gmail.com,+62 (079) 371 0175,no
5393792,Adiarja,Yuniar,balanggasiregar@gmail.com,+62 (94) 073-0593,yes
7973475,Jaiman,Wijayanti,uchita83@yahoo.com,+62-39-170-6207,yes
1897118,Salman,Sirait,yolandabagya@gmail.com,+62 (68) 817-0720,no
2830857,Bahuwirya,Nababan,jwasita@hotmail.com,(052) 109 1160,no
8596241,Jinawi,Sudiati,varyani@hotmail.com,(0299) 167 3445,no
9489049,Vinsen,Namaga,nagustina@yahoo.com,(0864) 481 8898,no
7992593,Genta,Adriansyah,cakrajiya48@hotmail.com,+62 (0249) 869-7731,no
7813811,Maida,Hidayanto,hidayatkamal@gmail.com,+62 (177) 852 9876,no
5749263,Himawan,Yuniar,zulfa15@gmail.com,+62 (16) 051-1684,no
2489351,Rama,Kurniawan,adiarjaardianto@hotmail.com,+62 (684) 715 7900,no
3032301,Nalar,Napitupulu,diah67@hotmail.com,+62 (58) 766 8326,yes
7704104,Ivan,Irawan,kuntharairawan@hotmail.com,+62 (50) 823-2016,no
3143487,Jagapati,Riyanti,digdayahalimah@yahoo.com,(0936) 902 8994,no
8544501,Kairav,Ardianto,luhung22@yahoo.com,+62-128-997-4029,yes
2205840,Gaduh,Pangestu,ihutasoit@gmail.com,+62 (709) 600-6496,no
2013909,Kania,Haryanti,jelitasitumorang@hotmail.com,+62 (62) 743 2245,no
6591587,Daliono,Lestari,bakianto48@yahoo.com,0818408994,yes
7998862,Kasim,Sihotang,tiarasuartini@hotmail.com,+62-654-404-8361,yes
9014358,Artawan,Pradipta,mandasarirespati@yahoo.com,+62-899-701-2203,no
4006936,Lurhur,Najmudin,jnashiruddin@gmail.com,+62-0455-453-7619,yes
9087305,Gandewa,Hutasoit,kusumonatalia@hotmail.com,+62 (29) 057-6023,no
